0,1,-0.172193,0.173535
0,2,-0.0719193,0.0735368
0,3,-0.182271,0.173794
0,4,0.105941,-0.103874
0,8,-0.0843488,0.0880616
0,9,-0.0713378,0.0741684
0,10,0.1822,-0.180398
0,11,0.0745365,-0.0745188
0,13,0.113841,-0.130999
0,14,0.0526096,-0.0575401
0,15,0.188054,-0.179588
0,16,-0.218373,0.214515
0,18,0.113954,-0.127116
0,23,0.217659,-0.217659
0,25,0.100843,-0.0855486
0,29,0.105644,-0.0995442
0,31,-0.189619,0.179369
1,1,-0.172193,0.173535
1,2,-0.0719193,0.0735368
1,3,-0.182271,0.173794
1,4,0.105941,-0.103874
1,8,-0.0843488,0.0880616
1,9,-0.0713378,0.0741684
1,10,0.1822,-0.180398
1,11,0.0745365,-0.0745188
1,12,0.133218,-0.134007
1,13,0.113841,-0.130999
1,14,0.0526096,-0.0575401
1,15,0.188054,-0.179588
1,16,-0.218373,0.214515
1,18,0.113954,-0.127116
1,19,0.0536423,-0.0516465
1,20,-0.0450908,0.0447478
1,22,0.035153,-0.0346641
1,23,0.217659,-0.217659
1,25,0.100843,-0.0855486
1,28,-0.057425,0.0566155
1,29,0.105644,-0.0995442
1,30,0.0903082,-0.0889798
1,31,-0.189619,0.179369
2,1,-0.172193,0.173535
2,2,-0.0719193,0.0735368
2,3,-0.182271,0.173794
2,4,0.105941,-0.103874
2,7,0.102289,-0.1037
2,8,-0.0843488,0.0880616
2,9,-0.0713378,0.0741684
2,10,0.1822,-0.180398
2,11,0.0745365,-0.0745188
2,12,0.133218,-0.134007
2,13,0.113841,-0.130999
2,14,0.0526096,-0.0575401
2,15,0.188054,-0.179588
2,16,-0.218373,0.214515
2,17,0.0564017,-0.0579769
2,18,0.113954,-0.127116
2,19,0.0536423,-0.0516465
2,20,-0.0450908,0.0447478
2,22,0.035153,-0.0346641
2,23,0.217659,-0.217659
2,24,-0.0817296,0.081265
2,25,0.100843,-0.0855486
2,27,0.0246671,-0.0244145
2,28,-0.057425,0.0566155
2,29,0.105644,-0.0995442
2,30,0.0903082,-0.0889798
2,31,-0.189619,0.179369
3,1,-0.172193,0.173535
3,2,-0.0719193,0.0735368
3,3,-0.182271,0.173794
3,4,0.105941,-0.103874
3,7,0.102289,-0.1037
3,8,-0.0843488,0.0880616
3,9,-0.0713378,0.0741684
3,10,0.1822,-0.180398
3,11,0.0745365,-0.0745188
3,12,0.133218,-0.134007
3,13,0.113841,-0.130999
3,14,0.0526096,-0.0575401
3,15,0.188054,-0.179588
3,16,-0.218373,0.214515
3,17,0.0564017,-0.0579769
3,18,0.113954,-0.127116
3,19,0.0536423,-0.0516465
3,20,-0.0450908,0.0447478
3,21,-0.0495591,0.0500315
3,22,0.035153,-0.0346641
3,23,0.217659,-0.217659
3,24,-0.0817296,0.081265
3,25,0.100843,-0.0855486
3,27,0.0246671,-0.0244145
3,28,-0.057425,0.0566155
3,29,0.105644,-0.0995442
3,30,0.0903082,-0.0889798
3,31,-0.189619,0.179369
